"PushOffMyWire5ghz",0c:d6:bd:d2:56:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5200 MHz,Channel 40,-62 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"PushOffMyWire",0c:d6:bd:d2:56:ec,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412 MHz,Channel 1,-48 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM6961594",c0:05:c2:6d:02:37,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5220 MHz,Channel 44,-80 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM142470-5G",e4:f4:c6:66:60:28,[WPA2-PSK-CCMP][WPS][ESS],5180 MHz,Channel 36,-59 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM142470-2G",e4:f4:c6:7f:a1:f0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437 MHz,Channel 6,-69 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"virginmedia4436439_EXT",04:a1:51:e4:d5:a8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462 MHz,Channel 11,-90 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"BTWifi-with-FON",c2:91:f9:5a:6f:42,[ESS],2412 MHz,Channel 1,-78 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"TALKTALK-13B4E8",54:b8:0a:13:b4:e8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2437 MHz,Channel 6,-66 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"TALKTALK65B246-5G",64:a6:51:65:b2:4c,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462 MHz,Channel 11,-84 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"",fa:8f:ca:30:f7:d9,[ESS],2412 MHz,Channel 1,-39 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"BTWifi-X",e2:91:f9:5a:6f:42,[WPA-EAP-CCMP+TKIP][WPA2-EAP-CCMP+TKIP-preauth][ESS],2412 MHz,Channel 1,-84 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"PhilBecca",00:91:f9:5a:6f:42,[WPA2-PSK-CCMP][WPS][ESS],2412 MHz,Channel 1,-75 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"virginmedia4436439",10:0d:7f:c4:5e:61,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462 MHz,Channel 11,-72 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM5421369",c0:05:c2:65:29:79,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2462 MHz,Channel 11,-81 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"PhilBecca",00:91:f9:5a:6f:43,[WPA2-PSK-CCMP][WPS][ESS],5240 MHz,Channel 48,-79 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM5421369",c0:05:c2:65:29:7f,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5220 MHz,Channel 44,-82 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"virginmedia8846239",a0:21:b7:d2:b9:c0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],2412 MHz,Channel 1,-78 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"SKY53221",5c:d9:98:04:68:b0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412 MHz,Channel 1,-90 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"VM1272817",c0:05:c2:4b:66:91,[WPA2-PSK-CCMP][WPS][ESS],2422 MHz,Channel 3,-90 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"TALKTALK-07CEFC",1c:af:f7:07:ce:fc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2412 MHz,Channel 1,-87 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"BTWifi-X",92:4d:4a:41:6a:78,[WPA2-EAP-CCMP-preauth][ESS],2462 MHz,Channel 11,-90 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
"BTHub6-5FHR",90:4d:4a:41:68:7a,[WPA2-PSK-CCMP][WPS][ESS],2462 MHz,Channel 11,-90 dBm,CenterFreq0 0 MHz,CenterFreq1 0 MHz,ChannelWidth 20 MHz
